Date,Type,Distance,Duration,Weight,AvgHR,MaxHR,Temperature,OverallPlace,FieldSize,Course,Pace
2011-01-11,Default,3,00:19:23,105.2,NA,NA,NA,NA,NA,NA,00:06:28
2011-01-14,Default,4,00:33:34,104.9,NA,NA,NA,NA,NA,NA,00:08:24
2011-01-15,Default,5,00:34:46,NA,NA,NA,NA,NA,NA,NA,00:06:57
2011-01-17,Default,8,00:58:56,NA,NA,NA,NA,NA,NA,NA,00:07:22
2011-01-18,Default,5,00:33:57,NA,NA,NA,NA,NA,NA,NA,00:06:47
2011-01-19,Default,6,00:44:43,103.3,NA,NA,NA,NA,NA,NA,00:07:27
2011-01-23,Default,6,00:39:45,102.6,NA,NA,NA,NA,NA,NA,00:06:38
2011-01-24,Default,8,00:52:41,NA,NA,NA,NA,NA,NA,NA,00:06:35
2011-01-27,Default,5,00:28:59,103.2,NA,NA,NA,NA,NA,NA,00:05:48
2011-01-30,Default,6,00:44:12,101.1,NA,NA,NA,NA,NA,NA,00:07:22
2011-01-31,Default,8,00:54:48,NA,NA,NA,NA,NA,NA,NA,00:06:51
2011-02-02,Default,7,00:41:38,NA,NA,NA,NA,NA,NA,NA,00:05:57
2011-02-06,Default,10,00:57:32,99.8,NA,NA,NA,NA,NA,NA,00:05:45
2011-02-13,Default,8,00:45:26,NA,NA,NA,NA,NA,NA,NA,00:05:41
2011-02-14,Default,5,00:30:24,NA,NA,NA,NA,NA,NA,NA,00:06:05
2011-02-16,Default,10,00:58:35,NA,NA,NA,NA,NA,NA,NA,00:05:52
2011-02-20,Default,10,00:59:42,NA,NA,NA,NA,NA,NA,NA,00:05:58
2011-02-20,Default,12,01:15:03,99.3,NA,NA,NA,NA,NA,NA,00:06:15
2011-02-27,Race,10,00:49:54,98.5,NA,NA,NA,NA,NA,Interruning Porriño,00:04:59
2011-03-02,Default,5,00:36:02,97.8,NA,NA,NA,NA,NA,NA,00:07:12
2011-03-03,Default,8.16,00:47:31,NA,NA,NA,NA,NA,NA,NA,00:05:49
2011-03-05,Default,10.7,01:07:40,97.1,NA,NA,NA,NA,NA,NA,00:06:19
2011-03-06,Default,14,01:19:46,97.1,NA,NA,NA,NA,NA,NA,00:05:42
2011-03-09,Default,7,00:45:42,NA,NA,NA,NA,NA,NA,NA,00:06:32
2011-03-10,Default,5.2,00:36:53,NA,NA,NA,NA,NA,NA,NA,00:07:06
2011-03-10,Default,12,01:07:50,96.5,NA,NA,NA,NA,NA,NA,00:05:39
2011-03-13,Default,18,01:44:43,96.1,NA,NA,NA,NA,NA,NA,00:05:49
2011-03-17,Default,10.2,00:57:43,96.1,NA,NA,NA,NA,NA,NA,00:05:40
2011-03-19,Default,10,00:53:15,95.5,NA,NA,NA,NA,NA,NA,00:05:20
2011-03-20,Default,16.2,01:39:41,95.5,NA,NA,NA,NA,NA,NA,00:06:09
2011-03-23,Default,5,00:25:25,94.7,NA,NA,NA,NA,NA,NA,00:05:05
2011-03-24,Default,4,00:26:30,NA,NA,NA,NA,NA,NA,NA,00:06:38
2011-03-26,Default,10,00:54:36,NA,NA,NA,NA,NA,NA,NA,00:05:28
2011-03-27,Race,10,00:47:32,93.9,NA,NA,NA,NA,NA,10 km Cidade Universitaria,00:04:45
2011-03-31,Default,12,01:07:08,93.4,NA,NA,NA,NA,NA,NA,00:05:36
2011-04-03,Default,17.4,01:39:10,NA,NA,NA,NA,NA,NA,NA,00:05:42
2011-04-05,Default,8.2,00:49:53,94.2,NA,NA,NA,NA,NA,NA,00:06:05
2011-04-07,Default,5.8,00:31:29,94.1,NA,NA,NA,NA,NA,NA,00:05:26
2011-04-10,Race,21.1,01:44:28,92.5,NA,NA,NA,1978,3688,MM Vig-Bay,00:04:57
2011-04-27,Default,4,00:00:00,NA,NA,NA,NA,NA,NA,NA,00:00:00
2011-04-28,Default,6,00:44:23,NA,NA,NA,NA,NA,NA,NA,00:07:24
2011-05-02,Default,5,00:27:42,NA,NA,NA,NA,NA,NA,NA,00:05:32
2011-05-05,Default,4.6,00:25:08,NA,NA,NA,NA,NA,NA,NA,00:05:28
2011-05-10,Default,8,00:43:04,NA,NA,NA,NA,NA,NA,NA,00:05:23
2011-05-15,Default,6,00:28:47,NA,NA,NA,NA,NA,NA,NA,00:04:48
2011-05-17,Race,5.8,00:26:35,92.4,NA,NA,NA,NA,NA,Carreira Popular Vila de Redondela,00:04:35
2011-05-23,Default,10,00:49:42,NA,NA,NA,NA,NA,NA,NA,00:04:58
2011-05-25,Default,6,00:29:59,NA,NA,NA,NA,NA,NA,NA,00:05:00
2011-05-27,Default,6,00:44:35,NA,NA,NA,NA,NA,NA,NA,00:07:26
2011-05-29,Race,10,00:50:06,NA,NA,NA,NA,NA,NA,Memorial Manuel Barros,00:05:01
2011-06-01,Default,8,00:41:25,NA,NA,NA,NA,NA,NA,NA,00:05:11
2011-06-05,Default,10,00:47:47,92,NA,NA,NA,NA,NA,NA,00:04:47
2011-06-06,Default,10,01:00:33,92,NA,NA,NA,NA,NA,NA,00:06:03
2011-06-27,Default,6,00:34:46,90.1,NA,NA,NA,NA,NA,NA,00:05:48
2011-07-04,Default,8.4,00:40:59,90.1,NA,NA,NA,NA,NA,NA,00:04:53
2011-07-11,Default,6,00:29:08,90.7,NA,NA,NA,NA,NA,NA,00:04:51
2011-07-24,Default,10.12,00:57:40,90.3,NA,NA,NA,NA,NA,A Freixa,00:05:42
2011-08-03,Default,6,00:31:52,90.3,NA,NA,NA,NA,NA,NA,00:05:19
2011-08-24,Default,6,00:33:12,92.2,NA,NA,NA,NA,NA,NA,00:05:32
2011-08-28,Race,8,00:41:01,90.6,NA,NA,NA,NA,NA,Carreira Popular de Randufe,00:05:08
2011-08-30,Default,8.4,00:46:19,90.6,NA,NA,NA,NA,NA,NA,00:05:31
2011-08-31,Default,6.27,00:37:38,NA,NA,NA,NA,NA,NA,NA,00:06:00
2011-09-02,Default,9.93,00:52:47,NA,NA,NA,NA,NA,NA,NA,00:05:19
2011-09-04,Race,10.4,00:48:42,89.6,NA,NA,NA,NA,NA,"Memorial Manuel Bergueiro, A Estrada",00:04:41
2011-09-05,Default,8.4,00:48:49,89.6,NA,NA,NA,NA,NA,NA,00:05:49
2011-09-06,Default,8.4,00:41:19,89.6,NA,NA,NA,NA,NA,NA,00:04:55
2011-09-11,Race,10,00:56:39,89.6,NA,NA,NA,NA,NA,Xornadas Marisqueiras do Berbes,00:05:40
2011-09-12,Default,6,00:34:18,89.6,NA,NA,NA,NA,NA,NA,00:05:43
2011-09-14,Default,8.4,00:45:00,88.6,NA,NA,NA,NA,NA,NA,00:05:21
2011-09-17,Race,9.65,00:47:57,88.6,NA,NA,NA,NA,NA,Carreira Pedestre de Campañó,00:04:58
2011-09-22,Default,7.2,00:35:59,90.4,NA,NA,NA,NA,NA,NA,00:05:00
2011-09-25,Race,6.2,00:28:40,90.4,NA,NA,NA,NA,NA,Festa do Marisco,00:04:37
2011-10-02,Default,12,01:08:23,87.3,NA,NA,NA,NA,NA,NA,00:05:42
2011-10-03,Default,9,00:44:34,87.3,NA,NA,NA,NA,NA,NA,00:04:57
2011-10-05,Default,12,01:00:55,87.4,NA,NA,NA,NA,NA,NA,00:05:05
2011-10-09,Race,10,00:45:59,87.4,NA,NA,NA,992,1970,A Coruña 10,00:04:36
2011-10-12,Race,9.7,00:51:48,87.4,NA,NA,NA,NA,NA,"Carreira da Amizade, Bembrive",00:05:20
2011-10-13,Default,12,01:00:34,87.4,NA,NA,NA,NA,NA,NA,00:05:03
2011-10-15,Default,14.6,01:21:09,87.5,NA,NA,NA,NA,NA,NA,00:05:33
2011-10-16,Race,11,00:50:38,87.5,NA,NA,NA,NA,NA,Vigo +11,00:04:36
2011-10-18,Default,8.4,00:40:50,87.5,NA,NA,NA,NA,NA,NA,00:04:52
2011-10-19,Default,15.63,01:28:34,87.5,NA,NA,NA,NA,NA,NA,00:05:40
2011-10-21,Default,7.2,00:37:07,87.5,NA,NA,NA,NA,NA,NA,00:05:09
2011-10-23,Race,21.1,01:40:35,87.5,NA,NA,NA,NA,NA,Media Maratón Pontevedra,00:04:46
2011-10-25,Default,8.4,00:45:47,88.2,NA,NA,NA,NA,NA,NA,00:05:27
2011-10-28,Default,7.2,00:35:35,87,NA,NA,NA,NA,NA,NA,00:04:57
2011-10-30,Race,12,01:02:09,86,NA,NA,NA,NA,NA,Pedestre de Santiago,00:05:11
2011-11-06,Race,10,00:51:45,87.1,NA,NA,NA,NA,NA,San Martiño,00:05:10
2011-11-14,Default,12,01:00:33,87.1,NA,NA,NA,NA,NA,NA,00:05:03
2011-11-16,Default,8.4,00:40:22,87.1,NA,NA,NA,NA,NA,NA,00:04:48
2011-11-19,Default,14.6,01:16:03,87.1,NA,NA,NA,NA,NA,NA,00:05:13
2011-11-22,Default,18.04,01:35:24,NA,NA,NA,NA,NA,NA,NA,00:05:17
2011-11-23,Default,13,01:06:24,87.3,NA,NA,NA,NA,NA,NA,00:05:06
2011-11-27,Race,7.3,00:33:58,87.3,NA,NA,NA,NA,NA,Carreira Popular de vedra,00:04:39
2011-11-28,Default,7.2,00:41:48,87.3,NA,NA,NA,NA,NA,NA,00:05:48
2011-11-30,Default,9.6,00:55:06,88.3,NA,NA,NA,NA,NA,NA,00:05:44
2011-12-02,Default,9.6,00:52:02,88.3,NA,NA,NA,NA,NA,NA,00:05:25
2011-12-03,Race,6.3,00:28:13,88.3,NA,NA,9,103,208,Carreira Solidaria Nocturna de Bembrive,00:04:29
2011-12-06,Fartlek,7.5,00:37:21,NA,NA,NA,13,NA,NA,Vuelta Castrelos,00:04:59
2011-12-11,Long,18.04,01:34:08,NA,NA,NA,11,NA,NA,Balaidos-Samil-Bouzas-Coia-Balaidos,00:05:13
2011-12-12,Race,5,00:21:57,87.4,NA,NA,12,16,47,"Carrera Popular de Santa Bárbara (Minas, UVigo)",00:04:23
2011-12-18,Race,9.73,00:50:46,NA,NA,NA,5,1000,1245,Lugo Monumental,00:05:13
2011-12-20,Easy,8.4,00:47:35,NA,NA,NA,NA,NA,NA,Vuelta Castrelos,00:05:40
2011-12-22,Easy,9.6,00:53:27,NA,NA,NA,7,NA,NA,Vuelta Castrelos,00:05:34
2011-12-24,Long,20.4,01:53:37,86.7,NA,NA,10,NA,NA,Vuelta Castrelos,00:05:34
2011-12-29,Easy,12,01:04:48,NA,NA,NA,9,NA,NA,Vuelta Castrelos,00:05:24
2012-01-06,Easy,7,00:36:34,90.2,NA,NA,13,NA,NA,Lagares bajo,00:05:13
2012-01-07,Easy,14,01:17:25,NA,NA,NA,14,NA,NA,Lagares bajo,00:05:32
2012-01-08,Long,15.6,01:31:29,88.8,NA,NA,11,NA,NA,Vuelta Castrelos,00:05:52
2012-01-10,Tempo,7.2,00:35:20,88.7,NA,NA,7,NA,NA,Vuelta Castrelos,00:04:54
2012-01-12,Easy,11,00:56:59,88.2,NA,NA,6,NA,NA,Vuelta Castrelos,00:05:11
2012-01-15,Long,24,02:09:24,88,NA,NA,9,NA,NA,Vuelta Castrelos,00:05:24
2012-01-19,Easy,13,01:13:46,NA,NA,NA,11,NA,NA,Vuelta Castrelos,00:05:40
2012-01-20,Easy,10.5,00:57:55,NA,NA,NA,12,NA,NA,Vuelta Castrelos,00:05:31
2012-01-22,Race,21.1,01:39:44,87.9,NA,NA,16,930,1783,XIV Media Maratona Manuela Machado - Viana do Castelo (Portugal),00:04:44
2012-01-26,Easy,13,01:18:12,NA,NA,NA,10,NA,NA,Samil-Alcabre-Navia 13,00:06:01
2012-01-29,Long,13,01:14:57,87.7,NA,NA,14,NA,NA,Samil-Alcabre-Navia 13,00:05:46
2012-02-05,Long,16,01:28:34,87.4,NA,NA,9,NA,NA,Vuelta Castrelos,00:05:32
2012-02-07,Easy,7.2,00:38:12,NA,NA,NA,12,NA,NA,Vuelta Castrelos,00:05:18
2012-02-09,Easy,12,01:02:50,NA,NA,NA,7,NA,NA,Vuelta Castrelos,00:05:14
2012-02-12,Long,28,02:39:50,NA,NA,NA,9,NA,NA,Lagares bajo,00:05:42
2012-02-19,Race,21.1,01:42:34,87.2,NA,NA,12,395,569,Medio Maratón Viña Costeira. Ribeiro Solidario,00:04:52
2012-02-23,Easy,14.4,01:19:16,87.2,NA,NA,14,NA,NA,Vuelta Castrelos,00:05:30
2012-02-26,Race,10,00:44:31,NA,NA,NA,16,725,1305,Interruning Porriño,00:04:27
2012-03-01,Easy,5,00:29:45,88.1,NA,NA,13,NA,NA,CUVI,00:05:57
2012-03-04,Long,31.17,02:46:55,NA,NA,NA,13,NA,NA,NA,00:05:21
2012-03-11,Race,10,00:54:53,88.2,NA,NA,21,717,770,10 km Cidade Universitaria 2012,00:05:29
2012-03-13,Easy,8.4,00:44:40,NA,NA,NA,12,NA,NA,Vuelta Castrelos,00:05:19
2012-03-14,Easy,12.24,01:10:50,NA,NA,NA,18,NA,NA,CUVI,00:05:47
2012-03-16,Easy,10.24,00:51:40,88.3,NA,NA,12,NA,NA,NA,00:05:03
2012-03-18,Long,21.29,01:47:06,NA,NA,NA,14,NA,NA,NA,00:05:02
2012-03-20,Tempo,7.41,00:32:59,NA,NA,NA,11,NA,NA,NA,00:04:27
2012-03-21,Easy,8.16,00:46:32,NA,NA,NA,8,NA,NA,NA,00:05:42
2012-03-25,Race,21.1,01:45:15,88,NA,NA,20,2280,4121,MM Vig-Bay,00:04:59
2012-03-28,Easy,6,00:34:08,NA,NA,NA,18,NA,NA,Vuelta Castrelos,00:05:41
2012-03-30,Easy,10,00:54:43,NA,NA,NA,18,NA,NA,Vuelta Castrelos,00:05:28
2012-04-01,Long,18.37,01:42:21,87.9,NA,NA,22,NA,NA,Lagares-Estai-Samil-Lagares,00:05:34
2012-04-05,Easy,11.09,00:56:53,NA,NA,NA,17,NA,NA,NA,00:05:08
2012-04-09,Easy,8.4,00:43:06,88.5,NA,NA,14,NA,NA,Vuelta Castrelos,00:05:08
2012-04-15,Race,42.2,04:08:01,88.3,NA,NA,11,817,956,A Coruña 42,00:05:53
2012-04-28,Tempo,7.29,00:35:51,NA,NA,NA,15,NA,NA,NA,00:04:55
2012-05-01,Tempo,10,00:49:39,NA,NA,NA,14,NA,NA,Vuelta Castrelos,00:04:58
2012-05-09,Easy,10.16,00:54:19,90,NA,NA,23,NA,NA,NA,00:05:21
2012-05-13,Race,21.1,01:50:00,90.1,NA,NA,23,170,220,Media Maratón de A Ferreirúa,00:05:13
2012-05-15,Easy,9.31,00:49:27,NA,NA,NA,20,NA,NA,NA,00:05:19
2012-05-17,Interval,9.38,00:50:44,NA,NA,NA,18,NA,NA,NA,00:05:25
2012-05-22,Tempo,14.11,01:10:28,NA,NA,NA,17,NA,NA,NA,00:05:00
2012-05-27,Race,21.1,01:42:58,91.3,NA,NA,14,502,836,A Coruña 21,00:04:53
2012-06-03,Race,10,00:46:38,90.7,NA,NA,23,213,403,Carreira do Celta,00:04:40
2012-06-12,Easy,6.12,00:30:12,90.3,NA,NA,18,NA,NA,Vuelta Castrelos,00:04:56
2012-06-17,Race,10,00:52:50,90.3,NA,NA,18,389,462,Eurocidade Tui-Valença,00:05:17
2012-06-21,Long,14,01:14:05,NA,NA,NA,19,NA,NA,Toralla,00:05:18
2012-06-25,Easy,10.05,00:51:47,90.4,NA,NA,25,NA,NA,NA,00:05:09
2012-07-01,Race,10,00:46:02,92,NA,NA,19,436,614,Carreira Popular de Cambados,00:04:36
2012-07-08,Race,5.8,00:26:40,92.5,NA,NA,19,213,361,Carreira Popular Vila de Redondela,00:04:36
2012-07-10,Easy,6,00:30:22,NA,NA,NA,18,NA,NA,Vuelta Castrelos,00:05:04
2012-07-13,Easy,6,00:31:46,NA,NA,NA,NA,NA,NA,Vuelta Castrelos,00:05:18
2012-07-16,Easy,7.2,00:37:24,NA,NA,NA,21,NA,NA,Vuelta Castrelos,00:05:12
2012-07-28,Long,11.49,01:07:23,NA,NA,NA,16,NA,NA,NA,00:05:52
2012-07-29,Easy,6,00:38:00,NA,NA,NA,17,NA,NA,A Freixa,00:06:20
2012-08-01,Default,9.94,00:53:55,NA,NA,NA,18,NA,NA,NA,00:05:25
2012-08-07,Default,12.06,01:15:26,NA,NA,NA,23,NA,NA,NA,00:06:15
2012-08-10,Default,13.07,01:13:29,NA,NA,NA,22,NA,NA,NA,00:05:37
2012-08-12,Race,9,00:49:19,92,NA,NA,24,NA,NA,Carrera Popular de Hermisende,00:05:29
2012-08-19,Race,10,00:51:08,92,NA,NA,26,661,1187,"Carreira Pedestre Popular ""Andar e Correr"" de Baiona",00:05:07
2012-08-26,Race,8,00:40:07,91.5,NA,NA,23,126,174,Carreira Popular de Randufe,00:05:01
2012-09-04,Easy,8.34,00:46:39,90.1,NA,NA,23,NA,NA,NA,00:05:36
2012-09-06,Easy,8,00:42:39,NA,NA,NA,24,NA,NA,NA,00:05:20
2012-09-09,Race,10,00:46:15,NA,NA,NA,22,264,441,Xornadas Marisqueiras do Berbes,00:04:38
2012-09-15,Race,9.65,00:48:44,NA,NA,NA,26,222,302,Carreira Pedestre de Campañó,00:05:03
2012-09-18,Easy,6,00:34:00,NA,NA,NA,NA,NA,NA,Vuelta Castrelos,00:05:40
2012-10-01,Easy,8.4,00:46:35,91,NA,NA,17,NA,NA,Vuelta Castrelos,00:05:33
2012-10-06,Easy,6.5,00:35:11,NA,NA,NA,16,NA,NA,Vuelta Castrelos,00:05:25
2012-10-07,Long,12.2,01:04:25,NA,NA,NA,24,NA,NA,Vuelta Castrelos,00:05:17
2012-10-12,Race,9.66,00:48:32,92,NA,NA,22,152,231,"Carreira da Amizade, Bembrive",00:05:01
2012-10-14,Race,11,00:53:32,92,NA,NA,19,620,982,Vigo +11,00:04:52
2012-10-26,Easy,6.1,00:33:16,NA,NA,NA,16,NA,NA,Vuelta Castrelos,00:05:27
2012-10-28,Race,10,00:52:30,92.3,NA,NA,12,141,190,Carerra Popular Alejandro Gómez,00:05:15
2012-11-04,Race,10,00:47:40,92.5,NA,NA,NA,579,907,10 km Samil,00:04:46
2012-12-29,Easy,5,00:29:46,94.5,NA,NA,13,NA,NA,Vuelta Castrelos,00:05:57
2013-01-02,Easy,7.22,00:40:39,93.7,NA,NA,11,NA,NA,Vuelta Castrelos,00:05:38
2013-01-05,Easy,7,00:42:00,93.4,NA,NA,12,NA,NA,Lagares bajo,00:06:00
2013-01-07,Easy,5,00:28:42,NA,NA,NA,11,NA,NA,CUVI,00:05:44
2013-01-08,Easy,6,00:34:08,NA,NA,NA,10,NA,NA,CUVI,00:05:41
2013-01-09,Easy,7.19,00:41:20,NA,NA,NA,12,NA,NA,NA,00:05:45
2013-01-11,Easy,6.73,00:42:01,NA,NA,NA,9,NA,NA,NA,00:06:15
2013-01-13,Race,9.7,00:50:24,93.8,NA,NA,11,650,729,"Correndo por Vigo, O Calvario",00:05:12
2013-01-24,Easy,8.02,00:52:59,NA,NA,NA,10,NA,NA,NA,00:06:36
2013-02-02,Easy,7.02,00:37:22,NA,NA,NA,11,NA,NA,Lagares bajo,00:05:19
2013-02-04,Easy,9.92,01:03:59,NA,NA,NA,15,NA,NA,NA,00:06:27
2013-02-05,Easy,7.03,00:40:48,NA,NA,NA,9,NA,NA,NA,00:05:48
2013-02-09,Easy,12.24,01:05:35,NA,NA,NA,14,NA,NA,NA,00:05:21
2013-02-14,Easy,10.86,01:00:50,NA,NA,NA,13,NA,NA,NA,00:05:36
2013-02-19,Easy,8.5,00:44:33,NA,NA,NA,13,NA,NA,Vuelta Castrelos,00:05:14
2013-02-20,Easy,11.22,01:04:12,NA,NA,NA,9,NA,NA,NA,00:05:43
2013-02-24,Race,10,00:47:13,95,NA,NA,9,972,1383,Interruning Porriño,00:04:43
2013-03-10,Race,10,00:49:26,94.6,NA,NA,9,426,596,10 km Cidade Universitaria 2012,00:04:57
2013-03-13,Easy,6,00:33:04,NA,NA,NA,9,NA,NA,Vuelta Castrelos,00:05:31
2013-03-14,Long,12.2,01:01:33,NA,NA,NA,12,NA,NA,Vuelta Castrelos,00:05:03
2013-03-17,Race,21.1,01:49:29,93.1,NA,NA,12,2699,4188,MM Vig-Bay,00:05:11
2013-04-02,Long,12.01,01:05:10,NA,NA,NA,15,NA,NA,NA,00:05:26
2013-04-04,Easy,7.2,00:37:04,93.5,NA,NA,8,NA,NA,Vuelta Castrelos,00:05:09
2013-04-07,Race,21.1,01:48:01,93.7,NA,NA,5,277,326,"Medio Maratón ""Festa do Pulpo"" de O Carballiño",00:05:07
2013-04-15,Easy,6,00:33:08,93.7,NA,NA,16,NA,NA,Vuelta Castrelos,00:05:31
2013-04-16,Easy,7.3,00:41:08,NA,NA,NA,18,NA,NA,Vuelta Castrelos,00:05:38
2013-04-18,Easy,8.5,00:45:35,93.5,NA,NA,18,NA,NA,Vuelta Castrelos,00:05:22
2013-04-22,Tempo,6.1,00:29:52,NA,NA,NA,21,NA,NA,Vuelta Castrelos,00:04:54
2013-04-28,Long,15.24,01:20:12,NA,NA,NA,15,NA,NA,NA,00:05:16
2013-05-02,Long,11.7,01:02:14,93.2,NA,NA,19,NA,NA,NA,00:05:19
2013-05-05,Race,10,00:49:29,93.2,NA,NA,22,227,362,10 Km Salceda,00:04:57
2013-05-12,Race,21.09,01:55:52,93.7,NA,NA,25,164,174,Media Maratón de A Ferreirúa,00:05:30
2013-05-25,Race,10,00:49:36,92.8,NA,NA,18,534,884,"Correndo por Vigo, Nocturna de As Travesas",00:04:58
2013-05-26,Race,10,00:49:01,92.7,NA,NA,21,207,278,Memorial Manuel Barros,00:04:54
2013-06-09,Race,10,00:48:33,91.8,NA,NA,15,296,439,Eurocidade Valença-Tui-Valença,00:04:51
2013-06-15,Race,10,00:48:48,92.3,NA,NA,17,387,488,CARREIRA 5+5 PONTENOITE 2013. 10 KM,00:04:53
2013-06-21,Long,13.53,01:14:17,NA,NA,NA,19,NA,NA,NA,00:05:29
2013-06-23,Race,7.7,00:35:44,93.2,NA,NA,22,474,880,San Xoan,00:04:38
2013-06-30,Race,6.5,00:29:59,94.2,NA,NA,30,271,457,Carreira Popular Vila de Redondela,00:04:37
2013-07-07,Race,10,00:50:42,94.6,NA,NA,30,289,377,Carreira Popular de Cambados,00:05:04
2013-07-10,Easy,10.31,01:01:00,95.6,NA,NA,23,NA,NA,NA,00:05:55
2013-07-31,Default,8.92,00:52:24,NA,NA,NA,NA,NA,NA,NA,00:05:52
2013-08-01,Default,10.04,00:57:34,NA,NA,NA,30,NA,NA,NA,00:05:44
2013-08-04,Long,14.22,01:26:26,NA,NA,NA,NA,NA,NA,NA,00:06:05
2013-08-10,Default,6.81,00:38:05,NA,NA,NA,29,NA,NA,NA,00:05:36
2013-08-25,Race,8.05,00:46:20,96.1,NA,NA,25,144,162,Carreira Popular de Randufe,00:05:45
2013-09-02,Default,7.56,00:44:28,96.7,NA,NA,28,NA,NA,NA,00:05:53
2013-09-04,Long,10.61,01:14:25,NA,NA,NA,26,NA,NA,NA,00:07:01
